name,num
I,1023
Mr Allworthy,422
Sophia,281
we,260
Mr Jones,222
Jones,178
Tom,177
Man,171
Gentleman,152
Allworthy,132
Squire,124
Molly,115
it,114
Thwackum,96
Men,87
Reader,80
Mr Blifil,76
Fellow,75
me,67
Jenny,63
Father,56
Wife,54
Partridge,54
He,53
Mr Western,52
Blifil,52
Mrs Deborah,49
Mr Partridge,45
Daughter,44
Honor,40
Persons,40
Parson,39
George,38
Person,38
Woman,38
Mrs Bridget,37
Hero,37
Miss Bridget,36
one,34
Master Blifil,31
You,31
himself,30
Women,30
Poor,30
Fortune,30
Captain Captain,29
Square,29
keeper,29
La,29
Mrs Wilkins,28
Husband,28
hip,28
Doctor Doctor,27
Brother,27
Lady Lady,26
Black,26
Readers,25
us,25
Conversation,23
Boy,22
World,21
others,20
Girl,20
Mrs Blifil,19
Mother,19
Surgeon,19
Gentlemen,19
Youth,17
Aunt,17
People,16
Word,16
Friend,16
Philosopher,15
Child,15
Heart,15
Maid,15
Horse,15
Author,14
thou,14
We,14
Western Mr,13
Sister Sister,13
nothing,13
Mind,13
Nay,13
This,13
Physician,13
Giant,13
Matron,13
Mr Thwackum,12
Family,12
Love,12
Maam,12
Uncle,12
Things,12
Truth,12
Servant,12
none,12
Lad,12
Lady I,11
Sister His,11
JONES,11
Writers,11
Part,11
Mrs Western,10
Seagrim,10
TOM,10
Behavior,10
House,10
Critics,10
Eyes,10
po,10
Nature,10
O,10
Chapter,9
Worship,9
Temper,9
Law,9
It,9
Neighbors,9
Game,9
Envy,9
Sir I,8
Madam,8
Ancients,8
Wisdom,8
Parish,8
Goodness,8
Room,8
Concern,8
herself,8
Company,8
B,8
Sex,8
Servants,8
Ladies,8
Years,8
Contempt,8
Character,8
nay,8
Couple,8
Devil,8
Nephew,8
Foundling,8
Angels,8
Captain Blifil,7
Western Custom,7
Sir Simon,7
themselves,7
Vice,7
Critic,7
Name,7
Object,7
Prudence,7
Philosophers,7
tender,7
Resolution,7
MRS,7
Charity,7
Mankind,7
Sport,7
Face,7
Religion,7
Pedagogue,7
quire,7
S,7
Combatants,7
Guardian,7
Captain it,6
Captain Mr,6
Mrs Blifl,6
Goody,6
Matter,6
Thoughts,6
Presence,6
Opinion,6
T,6
Audience,6
Art,6
Great,6
Poet,6
Beings,6
Account,6
Life,6
Maxim,6
Passion,6
Charms,6
Arms,6
Marriage,6
Death,6
Pleasure,6
Hare,6
Letter,6
Enemy,6
Brown,6
Wine,6
Calumnies,6
Mouse,6
Mistress Mistress,5
Lady Muff,5
Doctor Mr,5
Western Mrs,5
Doctor I,5
Doctors Doctors,5
Custom Mr,5
Wit,5
deed,5
Yes,5
Villain,5
kind,5
Hand,5
Wench,5
Pity,5
Accident,5
Spectator,5
Generosity,5
Horace,5
Conscience,5
Quack,5
Means,5
Hatred,5
Son,5
Lover,5
Bird,5
Friendship,5
Time,5
Beauty,5
Affection,5
Scene,5
Doctrine,5
Widow,5
Friends,5
Age,5
Tears,5
Number,5
Numbers,5
Virtue,5
Experience,5
Boys,5
Animal,5
Blood,5
Dominion,5
Shape,5
Perfidy,5
Learning,5
Devotees,5
Western I,4
Ladyship I,4
Mrs Honor,4
Mrs Partridge,4
Lady Mrs,4
Dr Z,4
First Jemmy,4
Incident,4
Daughters,4
base,4
Thing,4
Language,4
P,4
Fellows,4
Spirit,4
Creatures,4
English,4
Patient,4
Judge,4
Degree,4
Homer,4
Slumbers,4
Danger,4
Kindness,4
Judgment,4
Lips,4
Education,4
Idea,4
Grief,4
Sight,4
Place,4
Business,4
Affair,4
Situation,4
Event,4
Words,4
They,4
Divine,4
Lessons,4
School,4
Niece,4
A,4
thing,4
Girls,4
Afternoon,4
Nothing,4
Occasion,4
Fear,4
Wilkins,4
Scripture,4
Examples,4
Fact,4
length,4
Species,4
Manner,4
Lads,4
Personages,4
Figure,4
Children,4
Cheeks,4
Water,4
Fate,4
Tweedle,4
Head,4
Goddess,4
Quarrel,4
His,4
Relation,4
Gift,4
These,4
Mr Supple,3
Mr Freke,3
Lady Reason,3
Lady Age,3
Western Company,3
Ladyship Ladyship,3
Mr Pope,3
State Profligacy,3
Master I,3
Western Squire,3
Country Gentlemen,3
King Pyrrhus,3
Stower Stower,3
Dispute,3
Gallantry,3
Curate,3
Application,3
Kind,3
elder,3
News,3
Companions,3
Lawyer,3
Humor,3
Motive,3
Side,3
Arm,3
God,3
Authority,3
V,3
Judges,3
Clerk,3
Writer,3
Names,3
Parts,3
Neglect,3
Appearance,3
Creature,3
Agonies,3
Disposition,3
Merit,3
Tenderness,3
Vanity,3
Enemies,3
Rug,3
Rage,3
Books,3
Evidence,3
Sensations,3
judges,3
Rule,3
Right,3
Laws,3
Consideration,3
Will,3
Conduct,3
Element,3
Particle,3
Hour,3
Memorial,3
Footman,3
yourself,3
Money,3
Chance,3
Parents,3
Passions,3
Avarice,3
Affections,3
England,3
Papa,3
Kiss,3
Favor,3
Oaths,3
Wood,3
Dissuasion,3
Punishment,3
Slut,3
Day,3
Malice,3
D,3
The,3
Noscitur,3
whose,3
Rascal,3
Vices,3
Theater,3
Bosom,3
Animosity,3
Degrees,3
Caution,3
Bible,3
Misery,3
Higler,3
Witness,3
Addition,3
Bishop,3
Flora,3
Notes,3
Handel,3
Dispositions,3
Success,3
Attorney,3
Young,3
Deserters,3
Design,3
Happiness,3
Mob,3
Zekiel,3
Hands,3
Desire,3
Folly,3
Impudence,3
Bill,3
Calibash,3
Calipee,3
Hunters,3
Air,3
Burden,3
Disguise,3
Affectation,3
Deborah,3
Meal,3
Trollops,3
Church,3
Consequences,3
Offspring,3
boys,3
Deity,3
Style none,2
Magistrates Excuse,2
Mr Blifl,2
Sir Sir,2
Lady Sophia,2
Western Tom,2
Mistress Looking,2
Ladyship Lady,2
Lady Mr,2
Western himself,2
Mr Square,2
Western we,2
Doctor Disease,2
Doctor Misaubin,2
Sister I,2
Countrymen Countrymen,2
Western Charms,2
Lady Reflection,2
Western Blifil,2
Western Daughter,2
Western Gentleman,2
Lady Inclinations,2
Strephon Phillis,2
Master Master,2
Captain Honor,2
Captain Understanding,2
Understanding Captain,2
Justice Fellow,2
Captain Wife,2
Captain I,2
Doctors Lady,2
Lady The,2
History it,2
Lady Years,2
Lord Mayor,2
Choristers Nature,2
Western Sophia,2
Stranger Sophia,2
Custom Daughter,2
Posture we,2
Country Fellow,2
Deists Age,2
Doctor News,2
Stag Stag,2
Mistress Mr,2
Sister Ladies,2
Sister Mrs,2
Master Matron,2
Master Mrs,2
Lady Commission,2
Mr Allworhty,2
Doctor Age,2
Lady Prudence,2
Superstition Ancients,2
Antagonist Mr,2
Antagonist Antagonist,2
Couples,2
Muse,2
Homerican,2
Hussy,2
My,2
something,2
Irascible,2
Thought,2
Garments,2
Sufferings,2
Unrighteousness,2
Doubt,2
Effect,2
Evening,2
Purity,2
well,2
TomTom,2
Tutor,2
body,2
Voice,2
Suspicion,2
Respect,2
Heaven,2
Care,2
Way,2
Quality,2
Operator,2
Fears,2
Tortures,2
Waiting,2
glass,2
nobody,2
BOOK,2
Commentator,2
living,2
Theaters,2
Capacities,2
Horrors,2
Genius,2
Comic,2
Secret,2
Works,2
Sickness,2
hwackum,2
Proverb,2
Actions,2
Horses,2
Sophy,2
Regard,2
Difficulties,2
Compassion,2
Ruin,2
Condition,2
Advocate,2
Poverty,2
Joy,2
Knowledge,2
Sack,2
Habitation,2
Loss,2
upbraidings,2
Middle,2
Discovery,2
Matters,2
Confession,2
Symptoms,2
Canal,2
Ground,2
don,2
Fever,2
Forgiveness,2
Pation,2
Misfortunes,2
Poets,2
Times,2
Superfluities,2
Executors,2
Purpose,2
Union,2
Fool,2
Virtues,2
Ambition,2
Sensation,2
Perfections,2
Pride,2
mine,2
Inclinations,2
Limbs,2
May,2
Oath,2
Don,2
Fathers,2
Moment,2
Doves,2
pigeons,2
Mark,2
Grove,2
Dowdy,2
DRUNKENNESS,2
Cause,2
Housekeeper,2
Grace,2
Persuasion,2
Depravity,2
Baddington,2
Places,2
Mouth,2
Guilt,2
Coolness,2
Defense,2
Delight,2
Sexes,2
happening,2
Fit,2
Experiments,2
ad,2
Arrival,2
i,2
Martyrs,2
Pages,2
reading,2
Emolument,2
Sagacity,2
Neighborhood,2
Partridges,2
Manor,2
Sportsman,2
Infidels,2
Heretics,2
Jack,2
means,2
Applause,2
Morals,2
Exuberancies,2
Acquaintance,2
Characters,2
Civility,2
Orders,2
Preference,2
Henceforward,2
Impressions,2
Wantonness,2
Wildness,2
Action,2
Reputation,2
myself,2
Enquiry,2
slily,2
Cold,2
Hunger,2
Nakedness,2
Debts,2
whole,2
Implements,2
Work,2
Monarch,2
Politician,2
Male,2
women,2
Heathen,2
Flower,2
Smile,2
French,2
Qualities,2
Innocence,2
company,2
Garden,2
SQUARE,2
Reason,2
Opportunity,2
Leisure,2
Mouths,2
contrary,2
Health,2
Finery,2
Ye,2
Muses,2
Robbery,2
Army,2
Skulls,2
Flight,2
Feathres,2
ot,2
Blows,2
Knight,2
Errand,2
Puss,2
Commands,2
Minds,2
