name,num
Mr Allworthy,727
it,635
Sophia,631
I,517
Mr Jones,370
Man,351
Tom,336
Jones,333
Molly,302
me,267
Allworthy,242
we,227
Squire,213
Gentleman,196
Fellow,177
Jenny,176
Thwackum,164
Wife,149
Father,148
Men,148
Partridge,135
Reader,132
Person,128
Honor,120
Mr Blifil,118
Woman,118
Daughter,106
World,105
Love,102
Matter,101
Blifil,97
Brother,95
Heart,93
Fortune,89
Persons,89
House,87
Mr Western,84
Child,83
Mind,83
Time,82
Conversation,81
Girl,79
Mrs Bridget,77
nothing,77
himself,77
Game,75
Nature,75
Husband,75
Truth,75
keeper,71
Virtue,70
Hero,69
Passion,68
po,67
Word,65
Miss Bridget,64
Family,64
Affection,64
Mrs Deborah,63
George,62
Parson,60
Occasion,60
Mother,59
us,59
Things,59
Poor,59
Square,56
Boy,56
Mr Partridge,55
People,55
Kind,55
Day,54
Eyes,54
Life,54
Friend,54
He,53
one,52
Beauty,52
Children,51
Goodness,51
Place,50
Servant,49
Readers,48
Head,47
Opinion,47
Favor,47
Women,47
Manner,47
Reason,46
Religion,46
Part,45
Master Blifil,44
others,44
Mrs Blifil,43
Youth,43
hip,43
Matters,42
Bird,42
Power,42
Use,41
Pleasure,41
Seagrim,40
Words,40
Black,40
thing,39
Years,39
La,39
Behavior,38
Thoughts,38
Critics,38
herself,37
Character,37
Friendship,37
Means,37
Affections,36
Hand,36
Thing,36
Horse,36
Aunt,36
Mrs Wilkins,35
Maid,35
Happiness,35
Temper,35
Blood,35
Misery,35
Contempt,34
Hands,33
Moment,33
Opportunity,32
Son,32
Secret,32
none,32
Face,32
Business,31
Danger,31
Company,30
Generosity,30
Right,30
Uncle,30
Inclinations,30
JONES,29
Motive,29
Arm,29
Tears,29
Charity,29
Marriage,29
Judgment,28
Chapter,28
Accident,28
yourself,28
Money,28
Book,28
TOM,28
Laws,28
Name,28
Letter,28
Creature,28
Cause,28
Lad,27
Ladies,27
Rug,27
Suspicion,26
themselves,26
Care,26
Consideration,26
Lover,26
Discovery,26
Satisfaction,26
Room,25
Rule,25
This,25
Author,24
base,24
Scene,24
Philosopher,24
Sex,24
kind,24
Advantage,24
Death,24
Foundling,24
Age,24
something,23
Purpose,23
Art,23
Consequence,23
Punishment,23
Minds,23
Mr Thwackum,22
Wench,22
Account,22
Conduct,22
Degree,22
Idea,22
Way,22
Object,22
Surgeon,22
Bed,22
Success,22
Law,22
Gentlemen,22
Affair,22
Sentiments,22
Orders,22
Fact,22
Friends,21
Spirit,21
Answer,21
whole,21
Ground,21
Infant,21
Matron,21
Lady Muff,20
Service,20
Morning,20
Action,20
Resolution,20
Vice,20
Bosom,20
Disposition,20
Charms,20
Neighbors,20
Regard,20
Loss,20
Match,20
Actions,20
Wretch,20
Lady Lady,19
Captain Captain,19
Hatred,19
Tommy,19
Tongue,19
Worship,19
Evening,19
Merit,19
Case,19
Ruin,19
Discourse,19
Effect,19
End,19
Tenderness,19
time,19
Advice,19
Passions,19
Patience,19
Doctor Doctor,18
Consequences,18
Mischief,18
thee,18
Wine,18
Compassion,18
Guilt,18
Fear,18
Grief,18
Innocence,18
Giant,18
Appearance,17
Desire,17
Authority,17
Arms,17
Fate,17
It,17
Side,17
Entertainment,17
order,17
Prudence,17
Kindness,17
Niece,17
Liberty,17
Example,17
Afternoon,16
Thought,16
News,16
Harm,16
Injury,16
A,16
Slut,16
Work,16
Water,16
Kiss,16
Books,16
Heaven,16
Want,16
Characters,16
Encouragement,16
Crime,16
Feathres,16
Miss Sophia,15
Hints,15
Color,15
Patient,15
Enemy,15
English,15
Symptoms,15
Possession,15
hold,15
Door,15
Pride,15
Appetite,15
Avarice,15
The,15
Servants,15
Sense,15
Doctrine,15
Method,15
Concern,15
Effects,15
Ears,15
mine,15
Will,15
Lovers,15
Physician,15
Affairs,15
Heir,15
Principles,15
Violence,15
Animal,15
Learning,15
Declaration,15
Hare,15
Guardian,15
Angels,15
Mrs Western,14
Sister Sister,14
Ease,14
Return,14
Design,14
Delight,14
Language,14
Subject,14
Doors,14
Maxim,14
Air,14
Importance,14
Confession,14
Cheeks,14
Politics,14
Nephew,14
School,14
Rage,14
Compliance,14
Evidence,14
Journey,14
Sexes,14
Flora,14
Female,14
Mistress Mistress,13
Incident,13
Paper,13
Disease,13
Mouth,13
home,13
Doubt,13
Bible,13
Neck,13
Field,13
Gratitude,13
Course,13
Parts,13
Repentance,13
Hopes,13
Favors,13
Eye,13
Joy,13
Difference,13
Reputation,13
His,13
Folly,13
Sake,13
Occasions,13
Divine,13
Clothes,13
Houses,13
Lads,13
Offense,13
Bishop,13
Bitch,13
Mr Square,12
Imperfections,12
Battle,12
Goody,12
Wisdom,12
length,12
Parish,12
Sight,12
Impression,12
Turn,12
Respect,12
Bargain,12
Season,12
Sentence,12
Condition,12
Judges,12
Rules,12
Light,12
Writer,12
Quack,12
tender,12
Fellows,12
Creatures,12
Fault,12
Hearts,12
Motives,12
Gallantry,12
Reward,12
Secrets,12
Oaths,12
care,12
Western Custom,11
Guineas,11
Hint,11
Readiness,11
Dinner,11
B,11
Lesson,11
Hall,11
Parents,11
Shame,11
Human,11
Spirits,11
Bone,11
Reasons,11
T,11
Audience,11
Assurance,11
nay,11
Genius,11
Conscience,11
Peace,11
Envy,11
Situation,11
Philosophers,11
Knowledge,11
Perfection,11
Excuse,11
Skill,11
Devil,11
Messenger,11
Grave,11
Jealousy,11
England,11
Quarrel,11
whose,11
Writers,11
Objects,11
Nose,11
Months,11
Coat,11
Maidservant,11
Latin,11
Husbands,11
Sir Simon,10
Education,10
Notice,10
Force,10
Earth,10
Body,10
Good,10
Miles,10
Sort,10
Pursuit,10
Uneasiness,10
Pity,10
Consent,10
myself,10
Misfortune,10
way,10
Commands,10
Heads,10
Speech,10
Muff,10
Share,10
Scenes,10
Pain,10
Sickness,10
Hours,10
Promise,10
Anger,10
Fondness,10
Farthing,10
Relation,10
Ceremony,10
Rascal,10
Severity,10
Pedagogue,10
Goddess,10
Charge,10
Gown,10
Gift,10
Sister Brother,9
Mrs Blifl,9
King Pyrrhus,9
Opinions,9
Villain,9
Wit,9
Table,9
Hat,9
Voice,9
Sensation,9
Difficulty,9
Apprehension,9
Pains,9
Impudence,9
Caution,9
Sins,9
Wrath,9
Resentment,9
Hospitality,9
Misfortunes,9
Preference,9
Enemies,9
Sincerity,9
Execution,9
Ideas,9
contrary,9
Visit,9
Civility,9
Obligation,9
Opportunities,9
Bread,9
Fury,9
Expense,9
Principle,9
Ingratitude,9
Arrival,9
manner,9
Victory,9
Widow,9
Qualities,9
Infidels,9
Errors,9
manifold,9
Temple,9
Ale,9
Bark,9
Miss Western,8
Sir I,8
Historian Aeras,8
Boys,8
Dialogue,8
elder,8
Church,8
Sufferings,8
Confusion,8
University,8
Sophy,8
Chair,8
Harpsichord,8
Morals,8
Lawyer,8
Knees,8
Lecture,8
Traces,8
body,8
Curiosity,8
Court,8
Attention,8
C,8
round,8
Picture,8
Form,8
Title,8
Sleep,8
present,8
Felicity,8
Mankind,8
Defense,8
Choice,8
Offer,8
Malice,8
Leave,8
Observations,8
Sound,8
Despair,8
Faculties,8
Sorrow,8
Lips,8
Betty,8
Inclination,8
Observation,8
Surprise,8
Comfort,8
Disobedience,8
Goodnature,8
Examples,8
part,8
Determination,8
Quality,8
Bodies,8
Numbers,8
Birds,8
Manor,8
Vengeance,8
Females,8
quire,8
Blow,8
Brook,8
Subjects,8
Mrs Mrs,7
Sister Mr,7
Captain Blifil,7
Captain Mr,7
Historian Paper,7
Transactions,7
Year,7
Pages,7
Gold,7
Madam,7
Application,7
Wenches,7
Bridewel,7
Newspapers,7
Farmer,7
Acts,7
Humor,7
Appellation,7
Considerations,7
Physic,7
Ambition,7
Walk,7
Limbs,7
Glory,7
Materials,7
Assurances,7
Faces,7
despair,7
Critic,7
Foundation,7
Bottom,7
Heathen,7
Oath,7
Pieces,7
Obligations,7
Soul,7
Recovery,7
Proposal,7
i,7
Philosophy,7
Suspicions,7
Barnes,7
Health,7
Vitals,7
Canal,7
Fever,7
French,7
Pation,7
Fortunes,7
Event,7
Parent,7
un,7
Notion,7
Companions,7
Praises,7
Parties,7
reading,7
Perfections,7
Minutes,7
Length,7
Jewels,7
Fit,7
O,7
Superiors,7
Families,7
Undeserving,7
Epithet,7
Disquiet,7
Emotions,7
Emolument,7
Creation,7
Debate,7
Nay,7
Heretics,7
Ridicule,7
Impressions,7
itself,7
Teeth,7
We,7
Displeasure,7
h,7
Blows,7
Brown,7
Mob,7
Nurse,7
things,7
Sheep,7
Scholar,7
Marriages,7
Ladyship Ladyship,6
Construction Construction,6
Western Company,6
Cases,6
Marry,6
Rags,6
Ways,6
Grace,6
Bottle,6
Departure,6
Obedience,6
Foot,6
God,6
Apartment,6
Deathbed,6
Absence,6
Designs,6
Virtues,6
Objection,6
Times,6
Breath,6
Portion,6
Essays,6
Writing,6
Dignity,6
Number,6
Accidents,6
Beer,6
Guard,6
Serenity,6
Compliments,6
Footman,6
Presence,6
Expectation,6
Vanity,6
Smile,6
Flesh,6
Pleasures,6
Adventure,6
Abuse,6
Resolutions,6
Theft,6
Beauties,6
Forgiveness,6
Hour,6
Benefactor,6
Tear,6
Profession,6
Towns,6
Value,6
Approbation,6
Woods,6
theirs,6
Neighbor,6
Union,6
Back,6
Wealth,6
Gravity,6
Supple,6
deal,6
MRS,6
properer,6
Property,6
Morsel,6
Daughters,6
Species,6
Sides,6
Behalf,6
Alliance,6
Opposition,6
Beneficence,6
Meaning,6
Alms,6
Commission,6
Sagacity,6
