name,num
Manfred,445
I,346
Lady Isabella,342
me,285
Matilda,270
Theodore,258
Isabella,241
it,166
Frederic,143
Hippolita,128
Jerome,119
father,114
thee,103
Bianca,91
son,76
thou,70
Highness,66
Knight,63
door,62
Friar,62
women,59
herself,57
us,54
heaven,53
Alfonso,51
Conrad,48
peasant,47
chamber,46
heart,46
mother,43
daughter,41
we,41
Marquis,40
youth,39
child,37
blood,36
soul,36
words,34
himself,31
convent,31
love,29
eyes,28
flight,28
hand,27
wife,27
apartment,26
cause,26
Ricardo,26
St Nicholas,25
gallery,25
life,24
church,24
art,24
sanctuary,24
Princess Princess,23
death,23
Knights,23
Lord Lord,22
Princess Theodore,22
Victoria,22
marriage,21
divorce,21
Father,21
passion,21
mind,20
way,20
trap,20
Madam,20
parent,20
court,19
Prince Prince,18
virgin,18
nothing,18
tears,18
friend,18
vault,18
lock,18
thing,18
Otranto,18
tyrant,18
person,17
passions,17
attendants,16
something,16
helmet,16
voice,16
servants,16
consent,16
noise,15
casque,15
hour,15
picture,15
time,15
secret,15
traitor,15
Diego,15
peace,15
Princess Hippolita,14
duty,14
house,14
tenderness,14
will,14
saint,14
principality,14
guide,14
place,13
orders,13
wrath,13
Jaquez,13
word,13
men,13
news,13
title,13
sword,13
prisoner,12
purpose,12
foot,12
poverty,12
truth,12
Thou,12
secrets,12
thought,12
arm,12
captain,12
affection,11
mouth,11
sight,11
object,11
curiosity,11
brother,11
husband,11
thoughts,11
rage,11
pity,11
We,11
minutes,11
escape,11
patience,11
suspicion,11
purity,11
union,11
Lord Isabella,10
grief,10
race,10
pursuit,10
It,10
God,10
point,10
champion,10
nature,10
wood,10
fate,10
castle castle,9
servant,9
terror,9
matter,9
vision,9
lady,9
tomb,9
armor,9
sentence,9
appearance,9
terms,9
They,9
air,9
power,9
hope,9
arrival,9
form,9
resentment,9
giant,9
veil,9
You,9
nay,9
company,9
views,9
dominions,9
suit,9
aught,9
Greatness,9
Prince Brother,8
family,8
horror,8
plumes,8
silence,8
loss,8
friendship,8
situation,8
piece,8
hours,8
courage,8
means,8
room,8
passage,8
Oh,8
spring,8
tyranny,8
use,8
presence,8
return,8
honor,8
inclination,8
guardians,8
conscience,8
scepter,8
head,8
ground,8
prince,8
Herald,8
feet,8
opportunity,8
Princess me,7
Lord I,7
Princess father,7
destiny something,7
Stranger Matilda,7
Lord Son,7
postern gate,7
Sirs Lady,7
Vicenza,7
danger,7
prophecy,7
confusion,7
temper,7
reasonings,7
discovery,7
nobody,7
sorrow,7
roof,7
intention,7
spirits,7
service,7
crime,7
fellow,7
end,7
liberty,7
hands,7
arms,7
gate,7
amor,7
separation,7
evening,7
sabre,7
condition,7
He,7
act,7
usurper,7
wounds,7
Lord ay,6
castle Lady,6
Lord Bianca,6
stories apparitions,6
Count Falconara,6
answer,6
Young,6
manner,6
fondness,6
hall,6
jealousy,6
ay,6
food,6
guard,6
none,6
apprehensions,6
anguish,6
foundation,6
indifference,6
idea,6
charms,6
sigh,6
sound,6
measures,6
favor,6
night,6
altar,6
body,6
events,6
misfortunes,6
safety,6
veracity,6
virtues,6
one,6
command,6
prayer,6
confidence,6
pleasure,6
Well,6
warmth,6
affairs,6
suspicions,6
oratory,6
yourself,6
attention,6
mine,6
deaths,6
correspondence,6
affections,6
look,6
wench,6
children,6
transport,6
galantry,6
recesses,6
provocation,6
captivity,6
proposal,6
reasons,6
questions questions,5
Princess Manfred,5
castle I,5
Lady Isabellamy,5
Lord love,5
Prince I,5
Prince Otranto,5
castle Frederic,5
impatience,5
surprise,5
sable,5
sounds,5
misfortune,5
care,5
concern,5
rumor,5
weight,5
shock,5
health,5
violence,5
hopes,5
reason,5
discourse,5
Heaven,5
grandfather,5
motion,5
portrait,5
panel,5
floor,5
moment,5
impetuosity,5
day,5
reach,5
agony,5
moonshine,5
earth,5
occasion,5
torches,5
fool,5
disposition,5
sake,5
leg,5
adventure,5
casement,5
morning,5
Peasant,5
spark,5
piety,5
damsel,5
reverence,5
Wife,5
province,5
approbation,5
displeasure,5
councils,5
order,5
repose,5
judgments,5
guilt,5
scruples,5
tribute,5
deed,5
confessor,5
confession,5
countenance,5
scene,5
difficulties,5
knights,5
claim,5
portents,5
possession,5
moments,5
Ere,5
dagger,5
procession,5
sail,5
Holy,5
calamity,5
succession,5
character,5
gage,5
Don,5
people,5
entrance,5
rocks,5
knight,5
impulse,5
Castle Lordship,4
Lordship Otranto,4
Prince court,4
Prince eyes,4
Princess sympathy,4
Lord me,4
Lord Manfred,4
Prince Isabella,4
castle church,4
