name,percentage,role,author
Ada_Clare,0.545722,"heiress, ward",male
Allan_Woodcourt,1.2985959999999999,"unmoneyed, suitor",male
Captain_Hawdon,0.051788,,male
Ester_Summerson,0.640183,"unmoneyed, ward",male
George_Rouncewell,1.0445440000000001,,male
Harold_Skimpole,2.138758,,male
Hortense,0.064164,,male
John_Jarndyce,1.780318,guardian,male
Lady_Dedlock,0.306165,moneyed,male
Mr_Vholes,0.402901,,male
Mrs_Woodcourt,0.021985,,male
William_Guppy,1.4246450000000002,,male
Richard_Cartson,1.370901,,male
