name,percentage,role,author
Camilla,4.257639,"heiress, ward",female
Eugenia,2.401557,"heiress, ward",female
Indiana,0.544324,"heiress, ward",female
Mrs_Tyrold,0.3633106,unmoneyed,female
Mrs_Arlbery,2.782394,moneyed,female
Lavinia,0.022515,unmoneyed,female
Edgar,2.385311,"suitor, ward",female
Mr_Tyrold,1.369705,"guardian, unmoneyed",female
Sir_Hugh_Tyrold,8.621369999999999,"guardian, moneyed",female
Sir_Sedley,2.360749,"suitor, moneyed",female
Bellamy,0.29359,"unmoneyed, suitor",female
Jacob,0.134322,unmoneyed,female
Marchmont,0.42215600000000003,unmoneyed,female
Lionel,0.42445900000000003,unmoneyed,female
Clermont,0.810028,"ward, suitor",female
