name,percentage,role,author
Agnes_Maynard,8.400989,"heiress, ward",female
Edward_Clayton,3.413496,"heir, suitor",female
Elizabeth_Maynard,3.330115,"heiress, ward",female
Lady_Verney,3.744825,moneyed,female
Lord_Verney,6.551251000000001,moneyed,female
Mary_Clayton,4.660552,heiress ,female
Mr_Clayton,9.824314999999999,,female
Mr_Hardman,4.358479,guardian,female
Mr_Lambert,1.859248,,female
Mr_Maynard,2.632349,,female
Mr_Sharp,4.355553,,female
Mrs_Savage,0.100203,,female
Mrs_Sharp,3.1516509999999998,,female
Richard_Clayton,11.131347,moneyed,female
Edward_Verney,9.79,,female
