name,percentage,role,author
Celia_Brooke,0.310396,ward,female
Dorothea,6.785398,"heiress, ward",female
Godwin_Lydgate,5.375049,,female
James_Chettam,3.035558,,female
Joshua_Rigg,0.812976,,female
Mary_Garth,1.501422,unmoneyed,female
Mr_Brooke,3.742405,guardian,female
Mr_Casaubon,5.851609,moneyed,female
Rosamond,2.739846,,female
Tertius_Lydgate,0.189211,,female
Will_Ladislaw,1.690447,unmoneyed,female
Mr_Featherstone,1.4080000000000001,moneyed,female
Fred_Vincy,4.2860000000000005,"unmoneyed, heir",female
