name,percentage,role,author,novel,year,decade,century,genre
Amelia,2.853958,heiress,female,Amelia,1751,1750,1700,courtship
Miss_Matthews,1.961173,heiress,female,Amelia,1751,1750,1700,courtship
Ada_Clare,0.545722,"heiress,,ward",male,BleakHouse,1853,1850,1800,realism
Camilla,4.257639,"heiress,,ward",female,Camilla,1796,1790,1700,courtship
Eugenia,2.401557,"heiress,,ward",female,Camilla,1796,1790,1700,courtship
Indiana,0.544324,"heiress,,ward",female,Camilla,1796,1790,1700,courtship
Lady_Rackrent,2.531409,heiress,female,CastleRackrent,1800,1800,1800,realism
Isabella,0.20079,heiress,female,CastleRackrent,1800,1800,1800,realism
Cecilia,7.83097,"heiress,,ward",female,Cecilia,1782,1780,1700,courtship
Honoria,1.737484,heiress,female,Cecilia,1782,1780,1700,courtship
Margaret,1.035256,heiress,female,Cecilia,1782,1780,1700,courtship
Mrs_Elton,0.588283,heiress,female,Emma,1815,1810,1800,courtship
Emma,5.7469790000000005,heiress,female,Emma,1815,1810,1800,courtship
Emmeline,6.391842,heiress,female,Emmeline,1788,1780,1700,gothic
Estella,0.698,heiress,male,GreatExpectations,1861,1860,1800,realism
Emily_Hotspur,2.86176,heiress,male,HarryHotspur,1871,1870,1800,realism
Mary_Clayton,3.614511,heiress,female,InheritanceOfEvil,1849,1840,1800,gothic
Agnes_Maynard,4.18657,"heiress, ward",female,InheritanceOfEvil,1849,1840,1800,gothic
Elizabeth_Maynard,2.482096,"heiress, ward",female,InheritanceOfEvil,1849,1840,1800,gothic
Blanche_Ingram,1.762801,heiress,female,JaneEyre,1847,1840,1800,gothic
Bertha,0.025596,heiress,female,JaneEyre,1847,1840,1800,gothic
Lady_Anna,13.546832,heiress,male,LadyAnna,1863,1860,1800,realism
Lucretia,3.206762,"heiress,,ward",male,Lucretia,1846,1840,1800,gothic
Maria,2.971918,heiress,female,Maria,1798,1790,1700,courtship
Dorothea,3.13665,"heiress,,ward",female,Middlemarch,1871,1870,1800,realism
Catherine,9.074176,heiress,female,NorthangerAbbey,1817,1810,1800,gothic
Bella,1.280766,"heiress,,unmoneyed",male,OurMutualFriend,1865,1860,1800,realism
Melinda,0.542077185056838,heiress,male,RoderickRandom,1748,1740,1700,picaresque
Narcissa,0.60030093964722,"heiress,,ward",male,RoderickRandom,1748,1740,1700,picaresque
Agnes_Laurentina,0.238217,heiress,female,TheMysteriesofUdolpho,1794,1790,1700,gothic
Emily,13.668192,"heiress,,ward",female,TheMysteriesofUdolpho,1794,1790,1700,gothic
Laura_Fairlie,3.814314,"heiress,,ward",male,TheWomaninWhite,1860,1860,1800,gothic
Lady_Arabella,10.976289999999999,"heiress,,ward",female,TheFemaleQuixote,1752,1750,1700,courtship
Mrs_Rayland,4.647521,heiress,female,TheOldManorHouse,1793,1790,1700,gothic
Mrs_Catharine,0.001008,heiress,female,TheOldManorHouse,1793,1790,1700,gothic
Ann-Jane-Eliza_Hollybourn,0.099124,heiress,female,TheOldManorHouse,1793,1790,1700,gothic
Sophia_Western,1.69374106044522,heiress,male,TomJones,1749,1740,1700,picaresque
Bridget_Allworthy,0.7567835251413871,heiress,male,TomJones,1749,1740,1700,picaresque
