name,percentage,role,author,novel,year,decade,century,genre
Captain_Booth,9.235157,"unmoneyed,,suitor",female,Amelia,1751,1750,1700,courtship
Hebbers,0.205703,"unmoneyed,,suitor",female,Amelia,1751,1750,1700,courtship
Allan_Woodcourt,2.010553,"unmoneyed,,suitor",male,BleakHouse,1853,1850,1800,realism
Ester_Summerson,17.350259,"unmoneyed,,ward",male,BleakHouse,1853,1850,1800,realism
Mr_Tyrold,2.626627,"guardian,,unmoneyed",female,Camilla,1796,1790,1700,courtship
Lionel,0.931868,unmoneyed,female,Camilla,1796,1790,1700,courtship
Dr_Marchmont,0.978429,unmoneyed,female,Camilla,1796,1790,1700,courtship
Jacob,0.224237,unmoneyed,female,Camilla,1796,1790,1700,courtship
Bellamy,0.39014,"unmoneyed,,suitor",female,Camilla,1796,1790,1700,courtship
Mrs_Tyrold,0.748948,unmoneyed,female,Camilla,1796,1790,1700,courtship
Lavinia,0.419053,unmoneyed,female,Camilla,1796,1790,1700,courtship
Thady_M'Quirk,15.089131,unmoneyed,female,CastleRackrent,1800,1800,1800,realism
Judy_M'Quirk,1.703739,unmoneyed,female,CastleRackrent,1800,1800,1800,realism
Albany,0.412058,unmoneyed,female,Cecilia,1782,1780,1700,courtship
Henrietta,0.99777,unmoneyed,female,Cecilia,1782,1780,1700,courtship
Emma_Vine,0.792547,unmoneyed,male,Demos,1886,1880,1800,realism
Phillip_Elton,4.998949,unmoneyed,female,Emma,1815,1810,1800,courtship
Harriet_Smith,5.342126,unmoneyed,female,Emma,1815,1810,1800,courtship
Jane,4.549746,unmoneyed,female,Emma,1815,1810,1800,courtship
Mr_Maloney,0.090005,unmoneyed,female,Emmeline,1788,1780,1700,gothic
Mrs_Joe,0.350829,unmoneyed,male,GreatExpectations,1861,1860,1800,realism
Molly,0.138674,unmoneyed,male,GreatExpectations,1861,1860,1800,realism
Joe_Gargery,2.979004,unmoneyed,male,GreatExpectations,1861,1860,1800,realism
Biddy,0.572376,unmoneyed,male,GreatExpectations,1861,1860,1800,realism
George_Hotspur,10.128188,"heir,,suitor,,unmoneyed",male,HarryHotspur,1871,1870,1800,realism
Alice_Fairfax,2.5852,unmoneyed,female,JaneEyre,1847,1840,1800,gothic
Adele,0.796822,"unmoneyed,,ward",female,JaneEyre,1847,1840,1800,gothic
Camilla_Spondi,0.01968,unmoneyed,male,LadyAnna,1863,1860,1800,realism
Daniel_Thwaite,7.072926,"unmoneyed,,suitor",male,LadyAnna,1863,1860,1800,realism
Madame_de_la_Rougierre,1.93882,unmoneyed,male,LeFanu_Uncle_Silas,1864,1860,1800,gothic
Silas_Ruthyn,0.922118,"unmoneyed,,guardian",male,LeFanu_Uncle_Silas,1864,1860,1800,gothic
Jemima,3.723095,unmoneyed,female,Maria,1798,1790,1700,courtship
Mary_Garth,1.501422,unmoneyed,female,Middlemarch,1871,1870,1800,realism
Will_Ladislaw,1.690447,unmoneyed,female,Middlemarch,1871,1870,1800,realism
Fred_Vincy,4.2860000000000005,"unmoneyed,,heir",female,Middlemarch,1871,1870,1800,realism
Mrs_Slashem,0.28328611898017,unmoneyed,male,ModernTimes,1785,1780,1700,picaresque
Biddy_Slashem,0.346821483113583,unmoneyed,male,ModernTimes,1785,1780,1700,picaresque
Bella,1.414944,"heiress,,unmoneyed",male,OurMutualFriend,1865,1860,1800,realism
Lizzie,0.34365100000000004,unmoneyed,male,OurMutualFriend,1865,1860,1800,realism
Jenny_Wren,0.7152390000000001,unmoneyed,male,OurMutualFriend,1865,1860,1800,realism
Mr_Wilfer,1.132581,unmoneyed,male,OurMutualFriend,1865,1860,1800,realism
Miss_Williams,0.316372449641713,unmoneyed,male,RoderickRandom,1748,1740,1700,picaresque
Thomas_Bowling,0.19746972189388504,unmoneyed,male,RoderickRandom,1748,1740,1700,picaresque
Uncle,0.516648135612244,unmoneyed,male,RoderickRandom,1748,1740,1700,picaresque
Anne_Catherick,1.277369,unmoneyed,male,TheWomaninWhite,1860,1860,1800,gothic
Marian_Halcombe,3.455118,"unmoneyed,,ward",male,TheWomaninWhite,1860,1860,1800,gothic
Walter_Hartright,1.378456,"unmoneyed,suitor",male,TheWomaninWhite,1860,1860,1800,gothic
Juliana,0.260246,unmoneyed,female,TheAbsentee,1812,1810,1800,realism
Nicholas_Garraghty,0.298476,unmoneyed,female,TheAbsentee,1812,1810,1800,realism
Miss_Glanville,3.284853,unmoneyed,female,TheFemaleQuixote,1752,1750,1700,courtship
Lucy,1.276114,unmoneyed,female,TheFemaleQuixote,1752,1750,1700,courtship
Annette,1.060896,unmoneyed,female,The Mysteries of Udolpho,1794,1790,1700,gothic
Valancourt,2.19041,"unmoneyed, suitor",female,The Mysteries of Udolpho,1794,1790,1700,gothic
Isabella_Somerive,0.466637,unmoneyed,female,TheOldManorHouse,1793,1790,1700,gothic
Dr_Hollybourn,1.7831439999999998,unmoneyed,female,TheOldManorHouse,1793,1790,1700,gothic
Monimia,1.7800169999999995,"unmoneyed,,ward",female,TheOldManorHouse,1793,1790,1700,gothic
Mrs_Somerive,1.557037,unmoneyed,female,TheOldManorHouse,1793,1790,1700,gothic
Selina,0.35671,unmoneyed,female,TheOldManorHouse,1793,1790,1700,gothic
Mr_Fitzpatrick,0.9776547349677192,unmoneyed,male,TomJones,1748,1740,1700,picaresque
Molly_Seagrim,0.322416649764378,unmoneyed,male,TomJones,1748,1740,1700,picaresque
Mrs_Miller,1.32167119296795,unmoneyed,male,TomJones,1748,1740,1700,picaresque
