year,Actors,Benefactors
1748,31.895919777487002,4.78942993332328
1749,5.831355546014173,4.172187349361095
1764,1.927519,1.012059
1782,5.079347,3.3883300000000003
1785,14.118257382342975,
1788,6.017678,4.61264
1793,5.154942500000001,2.8235635
1800,1.7137779999999998,1.287936
1812,24.17621,12.452193
1815,5.138228,2.916316
1817,3.162744,1.340189
1847,2.802108,2.802108
1849,4.8949695,3.829948
1853,5.26728,2.930421
1861,41.731492,6.465143
1863,1.752802,1.36162
1865,7.1778395,3.8393059999999997
1871,7.207094,5.266516
1886,0.250813,0.06751
